date,decimal_year,Julian_Day,Year,GHIsat,GHIg
2010-04-18,2010.29315068493,108,2010,8.48869989798781,7.50006666666667
2010-04-19,2010.29589041096,109,2010,8.01207252698233,7.15836666666667
2010-04-20,2010.29863013699,110,2010,8.04637849427005,6.02213333333333
2010-04-24,2010.3095890411,114,2010,8.63324052986156,8.016925
2010-04-25,2010.31232876712,115,2010,8.66064023534544,7.631125
2010-04-26,2010.31506849315,116,2010,8.47035752293054,7.58463333333333
2010-04-27,2010.31780821918,117,2010,8.62230622118887,7.66898333333333
2010-05-01,2010.32876712329,121,2010,8.79737196602458,6.78445
2010-05-03,2010.33424657534,123,2010,8.85592983303643,8.0188
2010-05-04,2010.33698630137,124,2010,9.15446566773813,8.1501
2010-05-05,2010.3397260274,125,2010,8.94242763973591,8.14078333333333
2010-05-06,2010.34246575342,126,2010,9.15919234997186,8.18178333333333
2010-05-07,2010.34520547945,127,2010,8.60780019159041,7.89723333333333
2010-05-08,2010.34794520548,128,2010,8.63133658537478,7.55951666666667
2010-05-09,2010.35068493151,129,2010,7.99493032262518,7.31898333333333
2010-05-10,2010.35342465753,130,2010,5.6249917316276,5.72948333333333
2010-05-11,2010.35616438356,131,2010,8.68742961959527,7.78281666666667
2010-05-12,2010.35890410959,132,2010,8.63018561323297,8.328
2010-05-13,2010.36164383562,133,2010,9.22558806081351,8.24311666666667
2010-05-14,2010.36438356164,134,2010,8.72265194439603,8.0437
2010-05-15,2010.36712328767,135,2010,9.03751568352718,8.08975
2010-05-17,2010.37260273973,137,2010,7.91071874257639,6.98458333333333
2010-05-19,2010.37808219178,139,2010,8.5046716547504,8.00968333333333
2010-05-20,2010.38082191781,140,2010,9.24258311431545,7.5213
2010-05-21,2010.38356164384,141,2010,8.7536235293434,8.317625
2010-05-23,2010.38904109589,143,2010,8.8964152482202,7.7377
2010-05-24,2010.39178082192,144,2010,9.17022255529931,8.3391
2010-05-25,2010.39452054795,145,2010,8.95815198371048,8.34113333333333
2010-05-26,2010.39726027397,146,2010,8.8298891989317,8.1989
2010-05-28,2010.40273972603,148,2010,8.28686559122461,7.86785
2010-05-29,2010.40547945205,149,2010,9.06364341060012,8.01145
2010-05-30,2010.40821917808,150,2010,8.94978044997503,8.26823333333333
2010-05-31,2010.41095890411,151,2010,9.23146735665464,8.26171666666667
2010-06-01,2010.41369863014,152,2010,8.95937236484047,7.63568333333333
2010-06-02,2010.41643835616,153,2010,8.72522773603008,7.89200833333333
2010-06-03,2010.41917808219,154,2010,8.07445955285368,7.44031666666667
2010-06-04,2010.42191780822,155,2010,8.52593349814131,7.887475
2010-06-05,2010.42465753425,156,2010,9.16073450259345,7.99859166666667
2010-06-06,2010.42739726027,157,2010,8.46511158034773,7.95286666666667
2010-06-07,2010.4301369863,158,2010,9.14050186462355,8.15846666666667
2010-06-08,2010.43287671233,159,2010,8.71720289342784,7.73723333333333
2010-06-09,2010.43561643836,160,2010,9.30299202204852,8.28753333333333
2010-06-10,2010.43835616438,161,2010,9.40753656528,8.57178333333333
2010-06-11,2010.44109589041,162,2010,8.62719244851644,7.03863333333333
2010-06-12,2010.44383561644,163,2010,8.53834448109014,7.84103333333333
2010-06-13,2010.44657534247,164,2010,8.66076465737378,8.11533333333333
2010-06-14,2010.44931506849,165,2010,9.37507059369923,8.3281
2010-06-15,2010.45205479452,166,2010,9.07830886580043,8.41181666666667
2010-06-16,2010.45479452055,167,2010,9.21682807373943,8.15741666666667
2010-06-17,2010.45753424658,168,2010,9.01758350192059,8.19803333333333
2010-06-18,2010.4602739726,169,2010,9.0710281485047,8.24911666666667
2010-06-19,2010.46301369863,170,2010,9.21301610499057,8.30120833333333
2010-06-20,2010.46575342466,171,2010,8.92671842384245,8.1765
2010-06-21,2010.46849315068,172,2010,9.25841155622567,8.1273
2010-06-22,2010.47123287671,173,2010,8.49135743067097,7.77694166666667
2010-06-23,2010.47397260274,174,2010,9.01712375855549,8.24475
2010-06-24,2010.47671232877,175,2010,8.85488430766005,8.11483333333333
2010-06-25,2010.47945205479,176,2010,9.25314942409129,7.556
2010-06-26,2010.48219178082,177,2010,9.05384043119991,6.98553333333333
2010-06-27,2010.48493150685,178,2010,8.95611538802168,8.42516666666667
2010-06-28,2010.48767123288,179,2010,9.23749447095755,8.24505
2010-06-29,2010.4904109589,180,2010,8.83633664790338,8.09646666666667
2010-06-30,2010.49315068493,181,2010,9.33074882291011,8.39173333333333
2010-07-01,2010.49589041096,182,2010,9.05984636683388,8.17738333333333
2010-07-02,2010.49863013699,183,2010,9.2677076996058,8.4778
2010-07-03,2010.50136986301,184,2010,9.02334962619311,8.23026666666667
2010-07-04,2010.50410958904,185,2010,8.95195854296671,8.04395
2010-07-05,2010.50684931507,186,2010,9.07953122227197,8.08486666666667
2010-07-06,2010.5095890411,187,2010,8.98060747866835,8.17578333333333
2010-07-07,2010.51232876712,188,2010,9.1278460754953,8.13295
2010-07-08,2010.51506849315,189,2010,8.67631457485881,8.01746666666667
2010-07-09,2010.51780821918,190,2010,8.85017224096532,8.00526666666667
2010-07-10,2010.52054794521,191,2010,8.4806858423868,7.641
2010-07-11,2010.52328767123,192,2010,8.49520954841189,7.29955
2010-07-12,2010.52602739726,193,2010,8.4396007290158,7.59278333333333
2010-07-13,2010.52876712329,194,2010,8.39895829026361,7.81705
2010-07-14,2010.53150684932,195,2010,8.72330203259562,7.88531666666667
2010-07-15,2010.53424657534,196,2010,8.7270973194104,8.07995
2010-07-16,2010.53698630137,197,2010,8.90349105890254,8.10106666666667
2010-07-17,2010.5397260274,198,2010,8.6075128100226,7.86181666666667
2010-07-18,2010.54246575342,199,2010,9.16812745790275,8.2089
2010-07-19,2010.54520547945,200,2010,8.84373493907531,8.14055
2010-07-20,2010.54794520548,201,2010,8.84715874352395,8.13585
2010-07-21,2010.55068493151,202,2010,8.93385848175542,7.76956666666667
2010-07-22,2010.55342465753,203,2010,8.70982572781936,7.93811666666667
2010-07-23,2010.55616438356,204,2010,9.00045128981965,8.06705
2010-07-24,2010.55890410959,205,2010,8.4436020111877,7.80666666666667
2010-07-25,2010.56164383562,206,2010,8.79763322662583,7.67225
2010-07-26,2010.56438356164,207,2010,8.70488098375917,7.8977
2010-07-27,2010.56712328767,208,2010,8.77365968734052,7.82311666666667
2010-07-28,2010.5698630137,209,2010,8.75413122107785,7.67696666666667
2010-07-29,2010.57260273973,210,2010,8.4270519549831,7.72555
2010-07-30,2010.57534246575,211,2010,8.11419099947906,6.99953333333333
2010-08-01,2010.58082191781,213,2010,7.95540405360865,6.85981666666667
2010-08-02,2010.58356164384,214,2010,7.91106433740964,7.15076666666667
2010-08-03,2010.58630136986,215,2010,8.37304564322469,7.32058333333333
2010-08-04,2010.58904109589,216,2010,8.09646950170946,7.30285
