date,decimal_year,Julian_Day,Year,GHIsat,GHIg
2008-01-02,2008.00273224044,2,2008,4.34280151042642,3.6886
2008-01-07,2008.01639344262,7,2008,4.48772178162358,3.75256666666667
2008-01-12,2008.03005464481,12,2008,4.44546853331515,3.86376666666667
2008-01-14,2008.03551912568,14,2008,4.66114252498463,4.07385
2008-01-16,2008.04098360656,16,2008,4.75466674259807,4.12284166666667
2008-01-18,2008.04644808743,18,2008,4.74207687745761,4.15383333333333
2008-01-25,2008.06557377049,25,2008,4.89239092207733,4.08438333333333
2008-02-03,2008.09016393443,34,2008,5.32179308059713,4.52984166666667
2008-02-04,2008.09289617486,35,2008,5.14024109763412,4.66848333333333
2008-02-06,2008.09836065574,37,2008,5.23686873429751,4.68931666666667
2008-02-10,2008.10928961749,41,2008,5.32250796812696,4.69711666666667
2008-02-17,2008.12841530055,48,2008,5.95497237074954,5.20971666666667
2008-02-21,2008.1393442623,52,2008,5.86779181871757,5.55838333333333
2008-02-27,2008.15573770492,58,2008,6.3408809371117,5.58495
2008-02-28,2008.15846994536,59,2008,6.24445005545177,5.34100833333333
2008-03-04,2008.17213114754,64,2008,6.8133408576361,5.94035
2008-03-06,2008.17759562842,66,2008,6.31017613278685,5.65246666666667
2008-03-07,2008.18032786885,67,2008,6.58106933889036,6.0254
2008-03-11,2008.1912568306,71,2008,6.55713501283912,5.76838333333333
2008-03-12,2008.19398907104,72,2008,7.01001269224813,6.4039
2008-03-14,2008.19945355191,74,2008,6.85289483484617,6.32621666666667
2008-03-15,2008.20218579235,75,2008,7.18880804876404,6.26545833333333
2008-03-16,2008.20491803279,76,2008,7.03914560600907,6.63875
2008-03-17,2008.20765027322,77,2008,5.51819774416279,5.5192
2008-03-18,2008.21038251366,78,2008,6.23510727107859,5.99716666666667
2008-03-19,2008.2131147541,79,2008,7.02505012818184,6.51601666666667
2008-03-20,2008.21584699454,80,2008,7.48234273455041,6.52273333333333
2008-03-21,2008.21857923497,81,2008,7.32848210783623,6.69223333333333
2008-03-22,2008.22131147541,82,2008,7.48308326772584,6.67965833333333
2008-03-23,2008.22404371585,83,2008,7.44549326745468,6.96450833333333
2008-03-24,2008.22677595628,84,2008,7.52286446935516,7.04728333333333
2008-03-25,2008.22950819672,85,2008,6.97654542541622,6.46386666666667
2008-03-27,2008.2349726776,87,2008,7.80426323662038,7.05310833333333
2008-03-28,2008.23770491803,88,2008,7.4357399517461,6.93305
2008-03-29,2008.24043715847,89,2008,6.64073163564177,6.24206666666667
2008-04-01,2008.24863387978,92,2008,7.71797271005243,6.94816666666667
2008-04-02,2008.25136612022,93,2008,7.88414580192373,7.55573333333333
2008-04-03,2008.25409836066,94,2008,8.14478749992171,7.40873333333333
2008-04-07,2008.2650273224,98,2008,8.29473305000178,6.58093333333333
2008-04-10,2008.27322404372,101,2008,7.21053839563088,6.380875
2008-04-11,2008.27595628415,102,2008,7.76309275663542,7.35965
2008-04-13,2008.28142076503,104,2008,7.42527222949593,6.93715
2008-04-14,2008.28415300546,105,2008,7.51810683380817,7.07405
2008-04-16,2008.28961748634,107,2008,7.66063568015562,7.35728333333333
2008-04-17,2008.29234972678,108,2008,8.20502011421215,7.75111666666667
2008-04-19,2008.29781420765,110,2008,8.26999197918164,7.6841
2008-04-20,2008.30054644809,111,2008,8.03040912135445,7.5955
2008-04-21,2008.30327868852,112,2008,8.197634628777,7.54368333333333
2008-04-22,2008.30601092896,113,2008,8.00712520069889,7.44001666666667
2008-04-23,2008.3087431694,114,2008,8.19684567124778,7.65536666666667
2008-04-24,2008.31147540984,115,2008,8.2462023062098,7.67658333333333
2008-04-27,2008.31967213115,118,2008,8.28045076825802,7.40946666666667
2008-04-28,2008.32240437158,119,2008,8.94253327797334,8.03626666666667
2008-04-30,2008.32786885246,121,2008,8.9204445317276,7.70201666666667
2008-05-01,2008.3306010929,122,2008,9.06061886720627,8.14603333333333
2008-05-02,2008.33333333333,123,2008,8.86717878907984,8.08191666666667
2008-05-03,2008.33606557377,124,2008,9.11459449749995,8.25315
2008-05-04,2008.33879781421,125,2008,8.79268370942083,8.18278333333333
2008-05-05,2008.34153005464,126,2008,8.59362785822513,7.85693333333333
2008-05-06,2008.34426229508,127,2008,8.56913203281542,8.25846666666667
2008-05-07,2008.34699453552,128,2008,8.93256412636676,8.08868333333333
